latitud,longitud,valor,B01_1x1,B01_3x3,B02_1x1,B02_3x3,B03_1x1,B03_3x3,B04_1x1,B04_3x3,B05_1x1,B05_3x3,B06_1x1,B06_3x3,B07_1x1,B07_3x3,B08_1x1,B08_3x3,B11_1x1,B11_3x3,B12_1x1,B12_3x3,B8A_1x1,B8A_3x3
-27.4748002,-58.8574817,45.00000000000171,0.1502625,0.1504958333333333,0.1592,0.1590888888888889,0.1802,0.1797555555555555,0.1684,0.1686666666666667,0.16445625,0.1644409722222222,0.14519375,0.1456548611111111,0.14745625,0.1477930555555555,0.1443,0.1445,0.1458375,0.1459159722222222,0.14185625,0.1421715277777777,0.1453125,0.1455902777777777
-27.4743388,-58.857934,37.99999999998249,0.157225,0.1570486111111111,0.1542,0.1584777777777777,0.1746,0.1785,0.1654,0.1682111111111111,0.16455625,0.1654180555555555,0.1469,0.1480166666666666,0.1485,0.1492916666666666,0.1432,0.1437666666666666,0.14616875,0.1465,0.1415375,0.1423159722222222,0.14300625,0.1442479166666666
-27.4742076,-58.8576185,58.99999999996908,0.1133,0.1137888888888889,0.1375,0.1352555555555555,0.1754,0.1761444444444444,0.1817,0.1815222222222222,0.1594,0.1596111111111111,0.1173,0.1171555555555555,0.1164,0.1158666666666666,0.1136,0.1129222222222222,0.1037,0.1035666666666666,0.1031,0.1031888888888888,0.1071,0.1065444444444444
-27.4740568,-58.857019,56.0000000000116,0.154075,0.1541236111111111,0.1584,0.1563444444444444,0.1691,0.1686333333333333,0.1531,0.1535,0.14765,0.1462013888888889,0.13218125,0.1311673611111111,0.13566875,0.1348944444444444,0.1335,0.134,0.13085625,0.1302840277777777,0.1281875,0.1283055555555555,0.129925,0.1296576388888889
-27.4738798,-58.8594739,43.00000000000637,0.15454375,0.15470625,0.1526,0.1606222222222222,0.1774,0.1801777777777777,0.1677,0.1712888888888888,0.16596875,0.1656381944444444,0.1508875,0.1502131944444444,0.15055625,0.1496993055555555,0.1445,0.1458444444444444,0.14293125,0.1431715277777777,0.14324375,0.1428090277777778,0.1456125,0.1452833333333333
-27.473679,-58.8599399,42.00000000004422,0.16039375,0.16023125,0.169,0.1661222222222222,0.188,0.1878,0.1754,0.1758333333333333,0.1716875,0.1719680555555555,0.153425,0.1543423611111111,0.1539125,0.1551083333333333,0.1506,0.1520555555555555,0.14681875,0.1478055555555555,0.14610625,0.1461020833333333,0.15098125,0.1514527777777777
-27.473469,-58.8593196,61.99999999999762,0.1204,0.1203666666666666,0.1353,0.1362,0.1768,0.1766777777777778,0.1836,0.1849333333333333,0.1657,0.1657333333333333,0.1176,0.1177222222222222,0.1168,0.1166777777777777,0.1142,0.1141777777777777,0.1012,0.1012666666666666,0.1007,0.1010111111111111,0.1064,0.1065333333333333
-27.4734066,-58.8567404,63.000000000030816,0.1636375,0.1638729166666666,0.171,0.1553,0.2082,0.1895,0.2052,0.1904,0.1793375,0.1801618055555555,0.1382625,0.1414381944444444,0.14045625,0.1432875,0.1402,0.1318444444444444,0.14295625,0.14479375,0.13868125,0.1413020833333333,0.13664375,0.1378673611111111
-27.4733471,-58.8591202,63.99999999999295,0.1420375,0.1420694444444444,0.1525,0.1512777777777778,0.164,0.1640222222222222,0.1465,0.1466777777777778,0.13893125,0.1388201388888889,0.12348125,0.1235298611111111,0.1259,0.1259923611111111,0.1236,0.1234555555555555,0.1175,0.1176381944444444,0.11661875,0.1165979166666666,0.12191875,0.1217638888888889
-27.4732325,-58.8579279,65.99999999998829,0.11510625,0.1149576388888889,0.1294,0.1321111111111111,0.1714,0.1709777777777777,0.1843,0.1850111111111111,0.1708125,0.170975,0.12190625,0.1219,0.1229,0.1228597222222222,0.1182,0.1178888888888888,0.1023,0.1022277777777777,0.10343125,0.1033881944444444,0.10921875,0.1091736111111111
-27.4730282,-58.8606735,63.99999999999295,0.1197,0.1196666666666666,0.137,0.1369444444444444,0.1777,0.1777555555555555,0.1908,0.1908555555555555,0.1721,0.1720555555555555,0.1227,0.1227,0.1205,0.1203222222222222,0.1169,0.1167444444444444,0.1004,0.1003333333333333,0.1013,0.1012888888888888,0.1102,0.1101888888888888
-27.4727798,-58.8603701,46.00000000003491,0.15154375,0.1516597222222222,0.1521,0.1526666666666666,0.1712,0.1746333333333333,0.1592,0.1626444444444444,0.15830625,0.1578423611111111,0.1428125,0.1419576388888889,0.1421625,0.1425840277777778,0.1339,0.1397555555555555,0.13665,0.1371409722222222,0.135925,0.1358520833333333,0.13755625,0.1379652777777777
-27.4726781,-58.8606621,65.00000000002615,0.1427375,0.1426944444444444,0.1518,0.1510111111111111,0.1645,0.1644111111111111,0.1487,0.1483,0.13948125,0.1395819444444444,0.1243875,0.1243777777777777,0.12621875,0.1261590277777778,0.1222,0.1220222222222222,0.11583125,0.1159736111111111,0.11503125,0.1151930555555555,0.1227875,0.1227138888888888
-27.4724654,-58.8589498,63.000000000030816,0.19555625,0.1955715277777777,0.2244,0.2230666666666666,0.2648,0.2675111111111111,0.2696,0.2693111111111111,0.2525125,0.2529979166666666,0.20170625,0.2023645833333333,0.20233125,0.2030423611111111,0.1892,0.1873,0.1908125,0.1912888888888889,0.18169375,0.1835263888888889,0.19358125,0.1941958333333333
-27.4721863,-58.8598219,66.99999999995043,0.1168375,0.1168041666666666,0.134,0.1341222222222222,0.1716,0.1721444444444444,0.1933,0.1943111111111111,0.18113125,0.1808298611111111,0.12800625,0.1277222222222222,0.1286,0.1279875,0.1234,0.1239222222222222,0.1011375,0.1012666666666666,0.1026,0.1023694444444444,0.11374375,0.1137888888888889
-27.4713317,-58.8631197,47.99999999995918,0.15834375,0.1583895833333333,0.1584,0.1601666666666666,0.1824,0.1828888888888888,0.1711,0.1716555555555555,0.16711875,0.1677368055555555,0.1438625,0.1450034722222222,0.14653125,0.1472534722222222,0.1386,0.1416222222222222,0.13959375,0.1401048611111111,0.13710625,0.1375326388888889,0.13935,0.1408048611111111
-27.4708793,-58.8624132,67.99999999998363,0.1219,0.1218666666666666,0.1407,0.1403888888888889,0.1792,0.1793111111111111,0.1988,0.1995111111111111,0.1854,0.1854222222222222,0.1303,0.1303444444444444,0.1282,0.1282333333333333,0.1244,0.1239,0.1008,0.1007666666666666,0.1013,0.1012444444444444,0.1135,0.1136222222222222
-27.4707805,-58.8604727,63.99999999999295,0.203775,0.2034416666666667,0.231,0.2240444444444444,0.281,0.2660666666666667,0.2778,0.2691555555555556,0.251,0.2475659722222222,0.20045,0.1968909722222222,0.1972,0.1955493055555555,0.1992,0.1864111111111111,0.1791125,0.1780027777777778,0.1749125,0.1731409722222222,0.18849375,0.1859819444444444
-27.4705607,-58.8624538,69.00000000001683,0.1458,0.1458375,0.1585,0.1577333333333333,0.1792,0.1787666666666666,0.1736,0.1739111111111111,0.162525,0.1626,0.13226875,0.1321402777777778,0.13345,0.1332291666666666,0.1266,0.1266555555555555,0.1170125,0.1170694444444444,0.1139125,0.1139923611111111,0.12451875,0.1245479166666666
-27.4704693,-58.8615767,71.9999999999743,0.1187125,0.11856875,0.1357,0.1346222222222222,0.1739,0.1718111111111111,0.2046,0.1982111111111111,0.1920625,0.1905868055555555,0.1370875,0.1365236111111111,0.13664375,0.1365979166666666,0.1321,0.1317444444444444,0.1014,0.1017138888888889,0.1015375,0.1015465277777777,0.1219625,0.1211125
-27.4698467,-58.8635679,72.00000000004536,0.1239,0.1238111111111111,0.1417,0.1398444444444444,0.1802,0.1797111111111111,0.2052,0.2056444444444444,0.1957,0.1957111111111111,0.1358,0.1357777777777777,0.1368,0.1367222222222222,0.1294,0.1294666666666666,0.1003,0.1004222222222222,0.1009,0.1009333333333333,0.117,0.1168777777777778
-27.4697985,-58.863874,54.00000000001626,0.1628875,0.1630138888888889,0.1659,0.1648777777777778,0.1966,0.1958666666666666,0.1889,0.1871444444444444,0.18060625,0.1807708333333333,0.1461375,0.1471402777777777,0.14566875,0.1470208333333333,0.1418,0.1405444444444444,0.136475,0.1376138888888889,0.13473125,0.1352819444444444,0.141975,0.1427868055555555
-27.4692696,-58.8628216,74.0000000000407,0.1215125,0.1214104166666666,0.1414,0.1394,0.178,0.1772888888888888,0.2092,0.2095333333333333,0.205,0.20513125,0.1475875,0.1475194444444444,0.14721875,0.1475875,0.141,0.1408222222222222,0.10060625,0.1007923611111111,0.10188125,0.1017541666666666,0.12536875,0.1252034722222222
-27.4692399,-58.8633671,95.00000000002728,0.14845,0.1484409722222222,0.163,0.1632888888888889,0.1904,0.1887333333333333,0.1965,0.1961666666666666,0.18364375,0.1838541666666666,0.13931875,0.1393881944444444,0.1398125,0.1400166666666666,0.1352,0.1354,0.1156,0.1156020833333333,0.1130375,0.1130965277777778,0.1281125,0.1282222222222222
-27.4690254,-58.8622547,63.99999999999295,0.19188125,0.1916069444444444,0.2252,0.2238666666666666,0.2666,0.2622,0.2668,0.2672666666666666,0.25475,0.2559361111111111,0.20744375,0.2076645833333333,0.2077,0.20779375,0.1893,0.1890666666666666,0.19126875,0.1919145833333333,0.1836625,0.1839659722222222,0.19455,0.1957944444444444
-27.4688362,-58.8643213,54.00000000001626,0.16689375,0.1670479166666666,0.1631,0.1726555555555555,0.208,0.2109,0.2006,0.2103333333333333,0.2007125,0.2024902777777777,0.15238125,0.1533708333333333,0.15181875,0.15351875,0.1415,0.145,0.13501875,0.1362138888888888,0.13503125,0.1357201388888889,0.14095625,0.1424222222222222
-27.4684081,-58.8645091,45.99999999996385,0.17210625,0.1722055555555555,0.1736,0.1827,0.2248,0.2265555555555555,0.227,0.2300444444444444,0.2183625,0.21858125,0.157975,0.15849375,0.158875,0.1591715277777778,0.1463,0.1513333333333333,0.13688125,0.1366916666666666,0.13336875,0.1338666666666666,0.146975,0.1468333333333333
-27.4680565,-58.8648886,101.0000000000133,0.149725,0.1497180555555555,0.1662,0.1672555555555555,0.1971,0.1973222222222222,0.2238,0.2235111111111111,0.218175,0.2186083333333333,0.15916875,0.1592916666666666,0.16334375,0.1632284722222222,0.1507,0.1515444444444444,0.1142625,0.1142409722222222,0.11300625,0.11293125,0.1396625,0.1397826388888889
-27.4679387,-58.8634207,66.99999999995043,0.18284375,0.1827611111111111,0.2212,0.2141777777777777,0.25,0.2476666666666666,0.26,0.2557555555555555,0.24771875,0.2456326388888889,0.196025,0.19409375,0.19543125,0.19316875,0.1832,0.1833555555555556,0.17473125,0.1731131944444444,0.1704625,0.1686729166666666,0.18335625,0.1817930555555555
-27.4676448,-58.8653543,58.00000000000693,0.19341875,0.1933979166666666,0.1963,0.1985444444444444,0.252,0.2538,0.2826,0.2858888888888888,0.2798875,0.28283125,0.185125,0.1884666666666666,0.185175,0.1890458333333333,0.1703,0.1755888888888888,0.1295125,0.131575,0.12795,0.1301298611111111,0.15619375,0.1589083333333333
-27.4674984,-58.8652638,82.9999999999842,0.1247,0.1246555555555555,0.14,0.1415222222222222,0.1819,0.1817777777777778,0.218,0.2169777777777777,0.2175,0.2173111111111111,0.1575,0.1570333333333333,0.1561,0.1560777777777778,0.1463,0.1465777777777777,0.0998,0.0999,0.1006,0.1006666666666666,0.1297,0.1297
-27.4673687,-58.8642187,78.99999999999352,0.1172375,0.11746875,0.1398,0.1397777777777777,0.1777,0.1788777777777777,0.218,0.2160888888888888,0.2136375,0.2105659722222222,0.15828125,0.1566208333333333,0.15986875,0.15843125,0.1518,0.1516,0.1014375,0.1013972222222222,0.1014875,0.1016104166666666,0.1342,0.1329534722222222
-27.4664385,-58.8652232,71.9999999999743,0.18653125,0.1862708333333333,0.2114,0.2037333333333333,0.2422,0.2276777777777777,0.2512,0.2435555555555555,0.2363625,0.2354270833333333,0.18845625,0.18744375,0.18514375,0.1847597222222222,0.1806,0.1761555555555555,0.16598125,0.1663451388888888,0.16169375,0.16143125,0.174475,0.1745548611111111
-27.4663034,-58.8667293,150.00000000000568,0.149925,0.1499055555555555,0.1706,0.1703777777777778,0.2021,0.2022777777777777,0.2432,0.2426888888888888,0.24716875,0.2471152777777777,0.18663125,0.1867388888888889,0.1875125,0.1880270833333333,0.1758,0.1755444444444444,0.1141,0.1139923611111111,0.11103125,0.1112104166666666,0.1592625,0.1593729166666666
-27.4662499,-58.8655555,95.99999999998944,0.122725,0.1227034722222222,0.1458,0.1449333333333333,0.1855,0.1834777777777778,0.2258,0.2244888888888888,0.22674375,0.2270013888888888,0.17405,0.1735986111111111,0.1751625,0.1746861111111111,0.1646,0.1646333333333333,0.10079375,0.1007083333333333,0.1015625,0.1016361111111111,0.1448,0.1445770833333333
-27.4661351,-58.8663692,75.00000000000284,0.21228125,0.2123381944444444,0.2488,0.2460888888888888,0.3098,0.3090666666666666,0.3632,0.3640222222222222,0.37523125,0.37245,0.2745375,0.2726340277777778,0.28005625,0.2775652777777778,0.254,0.2549111111111111,0.15173125,0.1501694444444444,0.1470875,0.1461340277777778,0.226125,0.2244270833333333
-27.4658444,-58.8678045,82.9999999999842,0.190925,0.1909875,0.1974,0.2028,0.226,0.2300444444444444,0.2436,0.2455777777777777,0.24575,0.2435569444444444,0.19685625,0.1946986111111111,0.199225,0.1972951388888889,0.1826,0.1833444444444444,0.1736125,0.1723777777777778,0.16809375,0.1666708333333333,0.184,0.18200625
-27.4656234,-58.866683,103.00000000000864,0.1246,0.1245888888888888,0.1442,0.1448777777777777,0.1835,0.1836222222222222,0.2256,0.2266222222222222,0.2321,0.2321111111111111,0.175,0.1748222222222222,0.1769,0.1766111111111111,0.165,0.1651222222222222,0.102,0.1018888888888888,0.1026,0.1023555555555555,0.142,0.1423555555555555
-27.4653045,-58.8676694,95.00000000002728,0.21804375,0.2179645833333333,0.2464,0.2473111111111111,0.3122,0.3110888888888888,0.3766,0.375,0.387625,0.3867451388888889,0.292725,0.2933333333333333,0.2968875,0.2976569444444444,0.2746,0.2750222222222222,0.14869375,0.1485770833333333,0.14278125,0.1430236111111111,0.24615,0.2461833333333333
-27.4652393,-58.8678377,97.99999999998477,0.21709375,0.2174201388888888,0.2732,0.2645333333333333,0.3316,0.3266444444444444,0.3964,0.3906,0.402875,0.3985048611111111,0.308025,0.3053777777777778,0.3119375,0.3090104166666667,0.2932,0.2902666666666667,0.15759375,0.1551944444444444,0.15213125,0.1496354166666667,0.25835,0.2559618055555556
-27.4652135,-58.8669696,105.99999999996614,0.1245125,0.1245131944444444,0.1436,0.1444,0.1836,0.1835222222222222,0.2286,0.2291111111111111,0.2354,0.2353125,0.18105625,0.1806569444444444,0.18323125,0.1832354166666666,0.1771,0.1760555555555555,0.1033125,0.1032159722222222,0.10289375,0.1027166666666666,0.15243125,0.1521006944444444
-27.4651438,-58.8688526,111.99999999995214,0.1218,0.1221555555555555,0.1468,0.1446,0.185,0.1840444444444444,0.2276,0.2276222222222222,0.2333,0.2331111111111111,0.1768,0.1769222222222222,0.1771,0.1772111111111111,0.1703,0.1689666666666666,0.1051,0.1052555555555555,0.1041,0.1044555555555555,0.149,0.1487888888888889
-27.4647485,-58.8682645,86.00000000001273,0.2201375,0.2197131944444444,0.2226,0.2150444444444444,0.236,0.2342444444444444,0.2566,0.2521555555555556,0.25105,0.2504291666666666,0.21051875,0.2074277777777778,0.21271875,0.2096930555555555,0.1998,0.1935222222222222,0.190525,0.19144375,0.1887,0.1881076388888889,0.19670625,0.1963673611111111
-27.4646869,-58.8680469,197.99999999996487,0.16174375,0.1612895833333333,0.1704,0.1712555555555555,0.2088,0.2066444444444444,0.251,0.2509111111111111,0.25765625,0.2580583333333333,0.202175,0.2021701388888888,0.2075,0.2074902777777778,0.194,0.1937222222222222,0.118625,0.1188923611111111,0.1147375,0.1154618055555555,0.17306875,0.1731375
-27.4644962,-58.8680573,110.00000000002784,0.14544375,0.1448090277777778,0.1464,0.1473888888888889,0.1884,0.1857222222222222,0.234,0.2325777777777777,0.23685,0.2407305555555555,0.1847125,0.1894597222222222,0.18669375,0.1907923611111111,0.1792,0.1766111111111111,0.11854375,0.1253222222222222,0.1183625,0.1247736111111111,0.15604375,0.1612972222222222
-27.4644894,-58.868234,115.99999999994282,0.28375625,0.2801215277777777,0.2794,0.2931555555555555,0.3302,0.3666222222222222,0.4076,0.4303333333333333,0.48711875,0.4733826388888889,0.37824375,0.3784472222222222,0.400175,0.3915743055555555,0.3138,0.3363555555555556,0.28781875,0.2801520833333333,0.29410625,0.2872534722222222,0.3515625,0.3450722222222222
